,address,lifetime,most_active_day,activity_days,in_vs_out,num_in,num_out,addresses_in_out,median_delay,mean_delay,max_delay,min_delay,total_sent,total_recv,avg_out,avg_in,max_diff
0,3PcX9SwKfrGBFKVFrRKe3t9L8XsPQg8Y2W,529224.0,5,2,1.3333333333333333,4,3,0,4161.0,4161.0,4161.0,4161.0,0,0,650843.0,488132.25,1164268.0
1,1QGfECWrA7DdiSW2B58zzRUb4NWE4ZHjve,5077791.0,1,2,1.0,1,1,0,5077791.0,5077791.0,5077791.0,5077791.0,4824427,4824427,4824427.0,4824427.0,0.0
2,1B6o93f452RrxdbJSi3qYGfc9qBp1PB7wS,1740516.0,75,13,0.9230769230769231,300,325,0,25457.5,25630.6,77050.0,859.0,422169914,422169914,810625.6153846154,804763.4166666666,814156.0
3,3JWhnDFPBYTGrnB4bHWsidoTYd4nifsTdn,0.0,2,1,1.0,1,1,0,0.0,0.0,0.0,0.0,15461667,15461667,15461667.0,15461667.0,15461667.0
4,bc1qt00hlfx2a2tyan4jeajr9dtauy7xq574m0t84h,9125893.0,2,21,0.9230769230769231,12,13,0,29619.5,85264.9,260280.0,1597.0,196446398,196446398,6918362.769230769,7072319.75,459106.0
5,33HwH5UfhwLAw4CngBnqGvMePJQWXEeZ9Q,19099273.0,4,18,0.9230769230769231,12,13,0,52526.5,209335.9,817659.0,8402.0,0,0,997830.0769230769,1058030.1666666667,1358760.0
6,17uagECJJjBqqaQRqgegmST3HghxDupG66,11050171.0,2,9,1.0,6,6,0,99568.0,99568.0,185272.0,13864.0,2229200,2229200,371533.3333333333,371533.3333333333,214200.0
7,346t4QuWkaLTb7SbYMJN58scKAVDSDrFmK,1217457.0,5,9,1.0833333333333333,13,12,0,8194.0,12181.111111111111,34935.0,2201.0,69541993,69541993,2928556.9166666665,2668845.846153846,8469422.0
8,3AUtAnHGuF2rfJwtHJV1DnVGD4iEPwgwEC,1224.0,2,1,1.0,1,1,0,1224.0,1224.0,1224.0,1224.0,3537225,3537225,3537225.0,3537225.0,3537225.0
9,35a48G4gMEwXHB4FAvU5kCDZPZUUHSKZ3U,583.0,2,1,1.0,1,1,0,583.0,583.0,583.0,583.0,628321,628321,628321.0,628321.0,628321.0
10,35e7jmXrNVGQjvXQgNmjDKDYcDPZFQCLYG,23812.0,2,1,1.0,1,1,0,23812.0,23812.0,23812.0,23812.0,61800,61800,61800.0,61800.0,61800.0
11,bc1qzg29hwa6e246xz2yda7ezl2lykxw8u5p47elny,7246071.0,2,11,0.3333333333333333,3,9,1,388033.5,388033.5,430687.0,345380.0,43796112,43796112,1559892.5555555555,4679677.666666667,0.0
12,3BCinKCj2YmN7cDcwSfwdW7XUva7qSMBp2,5422201.0,4,13,1.0833333333333333,26,24,0,4753.0,7553.636363636364,21713.0,2555.0,0,0,179334.33333333334,165539.38461538462,118498.0
13,1ARWTWhWtHXKEZW5rfaWiFahHgB1imQcqU,17502656.0,6,12,0.9230769230769231,24,26,0,11160.5,12081.9,22197.0,3815.0,171057072,171057072,2335721.230769231,2372495.3333333335,1200000.0
14,33m8gK231FCZMtDjCxUqcwo7mmimmzcb4G,99314.0,1,2,1.0,1,1,0,99314.0,99314.0,99314.0,99314.0,3678099,3678099,3678099.0,3678099.0,0.0
15,13Zs8doeshWFBSzK5aox5EgUFNVE7YW3fj,4479665.0,6,20,1.5,30,20,0,63250.0,162467.2857142857,373016.0,809.0,294508859,290941958,4987507.7,3562798.533333333,6727192.0
16,bc1qu0uxmm29amcgqk24w9gwncjsxpy9dtx8tm4a6x,1499595.0,2,3,1.0,2,2,0,192141.0,192141.0,192141.0,192141.0,126215,126215,58134.5,58134.5,49057.0
17,3GEX5DJRfMXJkBFMdm5g5PFVKgpxKggN3y,736823.0,12,10,0.9230769230769231,36,39,0,31418.0,23438.4,43060.0,2458.0,76992748,24193554,1086637.0,224710.41666666666,2207886.0
