,address,lifetime,most_active_day,activity_days,in_vs_out,num_in,num_out,addresses_in_out,median_delay,mean_delay,max_delay,min_delay,total_sent,total_recv,avg_out,avg_in,max_diff
17,1LQzWSmbEbzsqGM1ET3Sb2hMebntW4K7bd,897077.0,9,9,0.5625,9,16,4,440.0,40649.0,121293.0,0.0,1849095087,1849095087,62092643.4375,87986921.66666667,183839707.0
18,1D5fYFjngQkj8KjuGemM55T4pfuJFHfNm2,12142006.0,18,17,1.2727272727272727,84,66,0,194296.0,277695.875,1093575.0,26549.0,3345503575,3345503575,55153.09090909091,42284.642857142855,41836.0
19,3NprGuLy6uTTt9UwW1doh3FLEGBZY6NJA3,748003.0,200,6,0.7857142857142857,275,350,0,6510.0,6510.0,6510.0,6510.0,707490720703,707490720703,7455663644.642858,11187416.545454545,30853086871.0
20,121jfy7iR2Q6HCNL3oZFDK2WTjigFZRAVb,102689791.0,140,3,1.2727272727272727,98,77,1,4982.5,5294.25,11212.0,0.0,4430391783,4430391783,35698247.27272727,5485765.714285715,332680720.0
21,125LaznhCAssaRgtjbY3Fvi9jeLFKBaRdZ,42067646.0,16,10,4.0,40,10,1,6422.0,6422.0,11815.0,1029.0,154384483,154384483,14206445.0,2752086.25,50290000.0
22,12cny1s79PGLN9Dfyzk4mskaVRzDYgZEv3,414245.0,187,4,4.0,220,55,5,1419.0,1351.6,2225.0,0.0,1713866800,1713866800,30181880.4,1996733.05,39934661.0
23,18YjZiXes86Zc6vzE2GroDpxYv3xmQDZ7,860981.0,18,9,0.9230769230769231,36,39,2,7026.0,10283.0,37713.0,2245.0,4337211306,4337211306,219481188.84615386,227667954.58333334,431953456.0
24,17EtFaxBU2PKJq36V9thYX75FkvHsRZJXw,728516.0,85,4,0.6666666666666666,50,75,0,0.0,314.875,987.0,0.0,1108944841,1108944841,980872.2666666667,644090.0,14007584.0
25,1CkSKivtRrsGN5vczEGhpcEdyWLU8wWSBy,409803.0,21,6,0.5625,27,48,0,4178.0,14676.0,85207.0,0.0,498000000,498000000,11875000.0,2888888.888888889,54000000.0
26,1F82eh6NsE5NKYk9VY3bhJRXruaC3fzNcp,4889251.0,20,14,0.13636363636363635,12,88,1,0.0,0.0,0.0,0.0,815359634,815359634,2158439.3636363638,14281476.0,2436469.0
27,1KZpsXWQxUgh7Ftwg25PFGVmg3rDYwKP1x,1864278.0,693,3,0.7857142857142857,363,462,2,1815592.0,1417047.4146341463,1815592.0,0.0,18973783342,18973783342,10222750.0,4485727.2727272725,87548500.0
28,137NkPUTDbLboxqsfrbcbMsiXnkog1kmta,4225019.0,120,16,0.9230769230769231,288,312,0,52888.5,54842.833333333336,119159.0,0.0,154268855030,154261074440,788116535.8461539,758471243.9166666,1850734818.0
